Template:
{ "[name]", [minx], [miny], [maxx], [maxy], 0x[color-hex]FF },
{ "Zone 40", -2258, -1457.5, -1743, -1021.5, 0xFF0000FF },
{ "Zone 41", -73, 1636.5, 622, 2228.5, 0xFF0000FF },
{ "Zone 42", -3000, -2112.9999389648438, -2262, -1461.9999389648438, 0xFF0000FF },
{ "Zone 43", -2255, -1748.0000610351562, -1743, -1463.0000610351562, 0xFF0000FF },
{ "Zone 44", -2255, -2112.4998168945312, -1741, -1753.4998168945312, 0xFF0000FF },
{ "Zone 45", -3000, -3000, -2350, -2120.5, 0xFF0000FF },
{ "Zone 46", -2342, -2999.5, -1739, -2120, 0xFF0000FF },
{ "Zone 47", -1739, -1284.5, -964, -730.5, 0xFF0000FF },
{ "Zone 48", -1738, -2112.5, -963, -1292.5, 0xFF0000FF },
{ "Zone 49", -1732, -3000, -962, -2118, 0xFF0000FF },
{ "Zone 50", -955, -3000, 179, -2114, 0xFF0000FF },
{ "Zone 51", -954, -2110, -212, -1292, 0xFF0000FF },
{ "Zone 52", -958, -1284, -208, -372, 0xFF0000FF },
{ "Zone 53", -304, -366, 550, 502, 0xFF0000FF },
{ "Zone 54", -956, -366, -312, 502, 0xFF0000FF },
{ "Zone 55", -202, -1030, 550, -372, 0xFF0000FF },
{ "Zone 56", -202, -1490, 550, -1040, 0xFF0000FF },
{ "Zone 57", -200, -2106, 182, -1496, 0xFF0000FF },
{ "Zone 58", 188, -3000, 548, -1496, 0xFF0000FF },
{ "Zone 59", 556, 160.5, 1506, 500.5, 0xFF0000FF },
{ "Zone 60", 558, -364, 1508, 156, 0xFF0000FF },
{ "Zone 61", 1514, -362, 2130, 498, 0xFF0000FF },
{ "Zone 62", 2138, -364, 3000, 498, 0xFF0000FF },
{ "Zone 63", 556, -1032, 1710, -374, 0xFF0000FF },
{ "Zone 64", 1716, -1036, 2452, -374, 0xFF0000FF },
{ "Zone 65", 2460, -1038, 3000, -376, 0xFF0000FF },
{ "Zone 66", 558, -1392, 1350, -1040, 0xFF0000FF },
{ "Zone 67", 556, -1790, 1348, -1396, 0xFF0000FF },
{ "Zone 68", 556, -2132, 1346, -1796, 0xFF0000FF },
{ "Zone 69", 556, -3000, 1345, -2142, 0xFF0000FF },
{ "Zone 70", 1358, -1392, 1850, -1042, 0xFF0000FF },
{ "Zone 71", 1860, -1474, 2458, -1044, 0xFF0000FF },
{ "Zone 72", 2464, -1596, 3000, -1044, 0xFF0000FF },
{ "Zone 73", 1355, -1861, 1853, -1399, 0xFF0000FF },
{ "Zone 74", 1862, -1858, 2461, -1480, 0xFF0000FF },
{ "Zone 75", 2470, -2147.4998168945312, 3000, -1602.4998168945312, 0xFF0000FF },
{ "Zone 76", 1355, -2145.9998168945312, 2462, -1868.9998168945312, 0xFF0000FF },
{ "Zone 77", 1354, -2361.5, 2433, -2152.5, 0xFF0000FF },
{ "Zone 78", 1356, -2637.5, 2432, -2367.5, 0xFF0000FF },
{ "Zone 79", 1355, -3000, 2432, -2644.5, 0xFF0000FF },
{ "Zone 80", 2440, -3000, 3000, -2153.5, 0xFF0000FF },
